,n,No dummies,Vu,"Vu, B","Vu, B, K","Vu, B, K, No","Vu, B, K, No, Se","Vu, B, K, No, Se, Vf","Vu, B, K, No, Se, Vf, Ø","Vu, B, K, No, Se, Vf, Ø, Fj",? dummies
1989,59,0.593220339,0.694915254,0.677966102,0.677966102,0.677966102,0.694915254,0.711864407,0.694915254,0.694915254,0.101694915
1990,58,0.517241379,0.5,0.534482759,0.568965517,0.534482759,0.534482759,0.5,0.534482759,0.568965517,0.051724138
1991,61,0.590163934,0.540983607,0.475409836,0.491803279,0.524590164,0.491803279,0.508196721,0.524590164,0.524590164,-0.06557377
1992,63,0.603174603,0.587301587,0.682539683,0.698412698,0.666666667,0.682539683,0.650793651,0.650793651,0.619047619,0.015873016
1993,61,0.639344262,0.639344262,0.62295082,0.655737705,0.655737705,0.639344262,0.639344262,0.62295082,0.672131148,0.032786886
1994,63,0.507936508,0.619047619,0.634920635,0.634920635,0.603174603,0.634920635,0.698412698,0.714285714,0.714285714,0.206349206
1995,60,0.483333333,0.45,0.466666667,0.466666667,0.466666667,0.483333333,0.5,0.516666667,0.483333333,0
1996,61,0.557377049,0.62295082,0.557377049,0.557377049,0.590163934,0.655737705,0.68852459,0.672131148,0.62295082,0.065573771
1997,60,0.616666667,0.55,0.583333333,0.583333333,0.583333333,0.65,0.6,0.616666667,0.6,-0.016666667
1998,53,0.641509434,0.641509434,0.622641509,0.679245283,0.622641509,0.622641509,0.660377358,0.622641509,0.603773585,-0.037735849
1999,56,0.5,0.517857143,0.5,0.535714286,0.589285714,0.553571429,0.553571429,0.535714286,0.553571429,0.053571429
2000,55,0.618181818,0.654545455,0.690909091,0.672727273,0.690909091,0.636363636,0.636363636,0.672727273,0.690909091,0.072727273
2001,55,0.781818182,0.8,0.8,0.8,0.763636364,0.8,0.8,0.781818182,0.781818182,0
2002,58,0.75862069,0.810344828,0.793103448,0.793103448,0.793103448,0.775862069,0.75862069,0.775862069,0.775862069,0.017241379
2003,57,0.438596491,0.456140351,0.543859649,0.543859649,0.578947368,0.561403509,0.596491228,0.50877193,0.473684211,0.03508772
2004,53,0.547169811,0.566037736,0.566037736,0.58490566,0.566037736,0.566037736,0.528301887,0.547169811,0.547169811,0
2005,56,0.392857143,0.5,0.660714286,0.607142857,0.642857143,0.625,0.660714286,0.571428571,0.589285714,0.196428571
2006,57,0.526315789,0.543859649,0.526315789,0.49122807,0.473684211,0.473684211,0.456140351,0.50877193,0.526315789,0
2007,52,0.538461538,0.576923077,0.596153846,0.576923077,0.596153846,0.538461538,0.576923077,0.576923077,0.596153846,0.057692308
2008,36,0.805555556,0.777777778,0.805555556,0.777777778,0.777777778,0.833333333,0.861111111,0.888888889,0.888888889,0.083333333
2009,40,0.45,0.475,0.45,0.45,0.45,0.525,0.575,0.475,0.525,0.075
2010,35,0.685714286,0.685714286,0.657142857,0.685714286,0.657142857,0.685714286,0.685714286,0.685714286,0.657142857,-0.028571429
2011,55,0.472727273,0.418181818,0.472727273,0.545454545,0.509090909,0.490909091,0.472727273,0.509090909,0.509090909,0.036363636
2012,62,0.548387097,0.516129032,0.532258065,0.548387097,0.516129032,0.516129032,0.516129032,0.5,0.483870968,-0.064516129
2013,55,0.545454545,0.545454545,0.581818182,0.545454545,0.563636364,0.618181818,0.618181818,0.618181818,0.654545455,0.10909091
2014,57,0.649122807,0.684210526,0.649122807,0.649122807,0.719298246,0.736842105,0.719298246,0.719298246,0.736842105,0.087719298
2015,55,0.545454545,0.563636364,0.527272727,0.472727273,0.509090909,0.545454545,0.381818182,0.509090909,0.472727273,-0.072727272
2016,73,0.438356164,0.506849315,0.493150685,0.520547945,0.520547945,0.479452055,0.493150685,0.493150685,0.506849315,0.068493151
2017,67,0.611940299,0.656716418,0.656716418,0.641791045,0.656716418,0.626865672,0.686567164,0.701492537,0.686567164,0.074626865
2018,65,0.584615385,0.569230769,0.538461538,0.569230769,0.553846154,0.630769231,0.646153846,0.707692308,0.723076923,0.138461538
2019,69,0.594202899,0.623188406,0.623188406,0.652173913,0.68115942,0.68115942,0.666666667,0.666666667,0.68115942,0.086956521
2020,67,0.641791045,0.626865672,0.671641791,0.686567164,0.671641791,0.641791045,0.656716418,0.641791045,0.626865672,-0.014925373
Total,1834,0.572519084,0.588876772,0.597600872,0.603598691,0.60523446,0.610687023,0.612868048,0.615594329,0.616139586,0.043620502
