,Small,Medium,Large,Soft bottom,Natural,DK2,n
1987,0.6461038961038961,0.3116883116883117,0.02922077922077922,0.012987012987012988,0.9837662337662337,0.0,308.0
1988,0.631911532385466,0.33175355450236965,0.02843601895734597,0.007898894154818325,0.966824644549763,0.0,633.0
1989,0.5888324873096447,0.3739424703891709,0.030456852791878174,0.00676818950930626,0.9661590524534687,0.02030456852791878,591.0
1990,0.6195652173913043,0.34627329192546585,0.029503105590062112,0.004658385093167702,0.9627329192546584,0.015527950310559006,644.0
1991,0.6205733558178752,0.3440134907251265,0.03035413153456998,0.00505902192242833,0.9595278246205734,0.01854974704890388,593.0
1992,0.4422680412371134,0.4896907216494845,0.05567010309278351,0.012371134020618556,0.9639175257731959,0.11030927835051546,970.0
1993,0.4614019520851819,0.4702750665483585,0.048802129547471165,0.019520851818988466,0.9645075421472937,0.1881100266193434,1127.0
1994,0.4728434504792332,0.46006389776357826,0.04073482428115016,0.026357827476038338,0.9592651757188498,0.20287539936102236,1252.0
1995,0.4657637321294206,0.47554552294958613,0.035364936042136946,0.023325808878856283,0.9616252821670429,0.2310007524454477,1329.0
1996,0.47054263565891474,0.465891472868217,0.03875968992248062,0.024806201550387597,0.9511627906976744,0.30930232558139537,1290.0
1997,0.44142746314972847,0.48797517455391776,0.045771916214119475,0.02482544608223429,0.9581070597362297,0.21334367726920092,1289.0
1998,0.4720229555236729,0.4634146341463415,0.04375896700143472,0.02080344332855093,0.9576757532281205,0.20157819225251075,1394.0
1999,0.46352941176470586,0.4711764705882353,0.04352941176470588,0.02176470588235294,0.9582352941176471,0.2211764705882353,1700.0
2000,0.5131459655485041,0.4252039891205802,0.0371713508612874,0.024478694469628286,0.9533091568449683,0.2511332728921124,2206.0
2001,0.5006960556844547,0.43990719257540606,0.035266821345707654,0.024129930394431554,0.9522041763341067,0.23665893271461716,2155.0
2002,0.4915480427046263,0.44261565836298933,0.0400355871886121,0.025800711743772242,0.9443950177935944,0.24866548042704625,2248.0
2003,0.46945646945646946,0.4651274651274651,0.04280904280904281,0.022607022607022607,0.9408369408369408,0.2405002405002405,2079.0
2004,0.5011074197120708,0.42967884828349945,0.039313399778516056,0.029900332225913623,0.9573643410852714,0.25359911406423036,1806.0
2005,0.458125,0.469375,0.045625,0.026875,0.94,0.26375,1600.0
2006,0.4853917662682603,0.44156706507304117,0.049136786188579015,0.02390438247011952,0.9555112881806109,0.2104913678618858,1506.0
2007,0.45268542199488493,0.4697357203751066,0.05456095481670929,0.023017902813299233,0.9531116794543905,0.0937766410912191,1173.0
2008,0.3616161616161616,0.5494949494949495,0.05656565656565657,0.03232323232323232,0.9505050505050505,0.1919191919191919,990.0
2009,0.40433925049309666,0.5118343195266272,0.05917159763313609,0.02465483234714004,0.960552268244576,0.16074950690335305,1014.0
2010,0.5021422450728363,0.4267352185089974,0.04284490145672665,0.028277634961439587,0.9545844044558698,0.16795201371036847,1167.0
2011,0.5328519855595668,0.4028880866425993,0.04043321299638989,0.023826714801444042,0.9458483754512635,0.16895306859205775,1385.0
2012,0.46956521739130436,0.45770750988142295,0.045059288537549404,0.02766798418972332,0.9407114624505929,0.1841897233201581,1265.0
2013,0.44111192392099485,0.4776883686905633,0.04681784930504755,0.03438185808339429,0.950256035113387,0.22092172640819313,1367.0
2014,0.555076923076923,0.3606153846153846,0.046153846153846156,0.038153846153846156,0.9243076923076923,0.14584615384615385,1625.0
2015,0.44842657342657344,0.47027972027972026,0.051573426573426576,0.02972027972027972,0.9440559440559441,0.22377622377622378,1144.0
2016,0.4440816326530612,0.483265306122449,0.05795918367346939,0.014693877551020407,0.9616326530612245,0.20326530612244897,1225.0
2017,0.6262448740480375,0.3028705330990041,0.03925014645577036,0.03163444639718805,0.9273579379027533,0.19507908611599298,1707.0
2018,0.5920985120574653,0.35146228835300153,0.029245767060030785,0.02719343252950231,0.9384299640841457,0.1672652642380708,1949.0
2019,0.4732208363903155,0.4607483492296405,0.04181951577402788,0.02421129860601614,0.9493763756419662,0.2223037417461482,1363.0
2020,0.5211267605633803,0.3936249073387695,0.05337286879169755,0.03187546330615271,0.9562638991845812,0.17568569310600446,1349.0
2021,0.6317829457364341,0.3281653746770026,0.029715762273901807,0.0103359173126615,0.9328165374677002,0.17958656330749354,774.0
2022,0.5546218487394958,0.3960084033613445,0.03571428571428571,0.01365546218487395,0.9516806722689075,0.21323529411764705,952.0
2023,0.4269340974212034,0.4813753581661891,0.07449856733524356,0.017191977077363897,0.9283667621776505,0.22636103151862463,349.0
All obs,0.6499756137213462,0.292635343846529,0.021947650788489675,0.03544139164363518,0.9270037392293936,0.16387579255405624,6151.0
All in VP3,0.6556765627331046,0.2827092346710428,0.022676413546173356,0.03893778904967925,0.9115321497836789,0.1654483067283306,6703.0
