,Small,Medium,Large,Soft bottom,Natural,DK2,Basis,n
1987,0.8333333333333334,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,,6.0
1988,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,1.0,0.0,,13.0
1989,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,,6.0
1990,1.0,0.0,0.0,0.0,1.0,0.0,,4.0
1991,0.75,0.125,0.0,0.125,0.875,0.0,,8.0
1992,0.8571428571428571,0.14285714285714285,0.0,0.0,0.9285714285714286,0.14285714285714285,,14.0
1993,0.42857142857142855,0.5,0.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,,14.0
1994,0.5833333333333334,0.16666666666666666,0.0,0.25,0.75,0.08333333333333333,,12.0
1995,0.9,0.0,0.0,0.1,0.8,0.0,,10.0
1996,0.8823529411764706,0.11764705882352941,0.0,0.0,0.7647058823529411,0.058823529411764705,,17.0
1997,0.8076923076923077,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.9230769230769231,0.0,,26.0
1998,0.75,0.125,0.0625,0.0625,0.8125,0.125,,16.0
1999,0.7777777777777778,0.2222222222222222,0.0,0.0,0.8888888888888888,0.2222222222222222,,9.0
2000,0.7894736842105263,0.15789473684210525,0.02631578947368421,0.02631578947368421,0.7368421052631579,0.02631578947368421,,38.0
2001,0.7333333333333333,0.24444444444444444,0.007407407407407408,0.014814814814814815,0.9111111111111111,0.02962962962962963,,135.0
2002,0.6666666666666666,0.29411764705882354,0.013071895424836602,0.026143790849673203,0.869281045751634,0.006535947712418301,,153.0
2003,0.47368421052631576,0.4473684210526316,0.043859649122807015,0.03508771929824561,0.7368421052631579,0.03508771929824561,,114.0
2004,0.6176470588235294,0.23529411764705882,0.0,0.14705882352941177,0.8235294117647058,0.23529411764705882,,34.0
2005,0.7333333333333333,0.16666666666666666,0.0,0.1,0.8666666666666667,0.36666666666666664,,30.0
2006,0.8961038961038961,0.07792207792207792,0.0,0.025974025974025976,0.948051948051948,0.03896103896103896,,77.0
2007,0.7631578947368421,0.20614035087719298,0.008771929824561403,0.021929824561403508,0.9166666666666666,0.0043859649122807015,,228.0
2008,0.5595238095238095,0.36904761904761907,0.0,0.07142857142857142,0.8214285714285714,0.05952380952380952,,84.0
2009,0.717741935483871,0.24193548387096775,0.0,0.04032258064516129,0.9354838709677419,0.056451612903225805,,124.0
2010,0.8957528957528957,0.05791505791505792,0.0,0.04633204633204633,0.9305019305019305,0.12355212355212356,,259.0
2011,0.8095238095238095,0.14285714285714285,0.004329004329004329,0.04329004329004329,0.8917748917748918,0.08658008658008658,,231.0
2012,0.7445887445887446,0.18614718614718614,0.012987012987012988,0.05627705627705628,0.8874458874458875,0.11255411255411256,,231.0
2013,0.6168582375478927,0.3065134099616858,0.01532567049808429,0.06130268199233716,0.9042145593869731,0.12643678160919541,,261.0
2014,0.7568058076225045,0.1705989110707804,0.012704174228675136,0.05989110707803993,0.8620689655172413,0.07622504537205081,,551.0
2015,0.7473118279569892,0.1989247311827957,0.0,0.053763440860215055,0.9301075268817204,0.06451612903225806,,186.0
2016,0.7048458149779736,0.2775330396475771,0.01762114537444934,0.0,0.960352422907489,0.039647577092511016,,227.0
2017,0.8330464716006885,0.12392426850258176,0.013769363166953529,0.029259896729776247,0.882960413080895,0.10154905335628227,,581.0
2018,0.7767527675276753,0.16605166051660517,0.00922509225092251,0.04797047970479705,0.8966789667896679,0.06457564575645756,,542.0
2019,0.612,0.348,0.012,0.028,0.92,0.12,,250.0
2020,0.7709923664122137,0.17557251908396945,0.010178117048346057,0.043256997455470736,0.9389312977099237,0.06361323155216285,,393.0
2021,0.7874564459930313,0.1916376306620209,0.017421602787456445,0.003484320557491289,0.9094076655052264,0.11498257839721254,,287.0
2022,0.8227272727272728,0.1590909090909091,0.01818181818181818,0.0,0.9136363636363637,0.1318181818181818,,220.0
2023,0.75,0.25,0.0,0.0,0.8214285714285714,0.14285714285714285,,28.0
All sparse,0.764522417153996,0.18089668615984406,0.010526315789473684,0.04405458089668616,0.8955165692007797,0.07875243664717349,2.654109589041096,2565.0
All in VP3,0.6556765627331046,0.2827092346710428,0.022676413546173356,0.03893778904967925,0.9115321497836789,0.1654483067283306,2.647725321888412,6703.0
