,n,No dummies
1989,591.0,0.6548223350253807
1990,644.0,0.6350931677018633
1991,593.0,0.6863406408094435
1992,970.0,0.6608247422680412
1993,1127.0,0.6353149955634427
1994,1252.0,0.6573482428115016
1995,1329.0,0.6839729119638827
1996,1290.0,0.6751937984496124
1997,1289.0,0.6454615981380916
1998,1394.0,0.693687230989957
1999,1700.0,0.7188235294117648
2000,2206.0,0.7098821396192203
2001,2155.0,0.6960556844547564
2002,2248.0,0.7153024911032029
2003,2079.0,0.7296777296777297
2004,1806.0,0.707641196013289
2005,1600.0,0.738125
2006,1506.0,0.7410358565737052
2007,1173.0,0.6888320545609549
2008,990.0,0.7424242424242424
2009,1014.0,0.742603550295858
2010,1167.0,0.7412167952013711
2011,1385.0,0.7328519855595668
2012,1265.0,0.7391304347826086
2013,1367.0,0.7937088514996342
2014,1626.0,0.8677736777367774
2015,1144.0,0.8583916083916084
2016,1225.0,0.8955102040816326
2017,1708.0,0.8864168618266979
2018,1949.0,0.8937916880451514
2019,1363.0,0.714600146735143
2020,1350.0,0.7511111111111111
Total,,0.7387933940006741
